team_list_id,tournament_count,player_count,best_placement,first_seen_date,first_seen_tournament_id,first_seen_event_id,regulation_set,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
6593,1,2,23,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6593,6593,2026-08-03 08:41:23.658111+00,0.2.0
6595,1,1,26,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6595,6595,2026-08-03 08:41:23.658111+00,0.2.0
6596,1,1,27,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6596,6596,2026-08-03 08:41:23.658111+00,0.2.0
6597,1,2,28,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6597,6597,2026-08-03 08:41:23.658111+00,0.2.0
6603,1,1,37,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6603,6603,2026-08-03 08:41:23.658111+00,0.2.0
6604,1,3,39,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6604,6604,2026-08-03 08:41:23.658111+00,0.2.0
6612,1,1,50,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6612,6612,2026-08-03 08:41:23.658111+00,0.2.0
6616,1,1,54,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6616,6616,2026-08-03 08:41:23.658111+00,0.2.0
6620,1,1,58,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6620,6620,2026-08-03 08:41:23.658111+00,0.2.0
6621,1,1,59,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6621,6621,2026-08-03 08:41:23.658111+00,0.2.0
6624,1,1,62,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6624,6624,2026-08-03 08:41:23.658111+00,0.2.0
6626,1,1,64,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6626,6626,2026-08-03 08:41:23.658111+00,0.2.0
6627,1,1,65,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6627,6627,2026-08-03 08:41:23.658111+00,0.2.0
6637,1,1,77,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6637,6637,2026-08-03 08:41:23.658111+00,0.2.0
6641,1,1,81,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6641,6641,2026-08-03 08:41:23.658111+00,0.2.0
6652,1,1,94,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6652,6652,2026-08-03 08:41:23.658111+00,0.2.0
6657,1,1,99,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6657,6657,2026-08-03 08:41:23.658111+00,0.2.0
6660,1,1,102,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6660,6660,2026-08-03 08:41:23.658111+00,0.2.0
6661,1,1,103,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6661,6661,2026-08-03 08:41:23.658111+00,0.2.0
6663,1,1,105,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6663,6663,2026-08-03 08:41:23.658111+00,0.2.0
6666,1,1,108,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6666,6666,2026-08-03 08:41:23.658111+00,0.2.0
6667,1,1,109,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6667,6667,2026-08-03 08:41:23.658111+00,0.2.0
6670,1,1,112,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6670,6670,2026-08-03 08:41:23.658111+00,0.2.0
6673,1,1,115,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6673,6673,2026-08-03 08:41:23.658111+00,0.2.0
6679,1,1,121,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6679,6679,2026-08-03 08:41:23.658111+00,0.2.0
6683,1,1,125,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6683,6683,2026-08-03 08:41:23.658111+00,0.2.0
6684,1,1,126,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6684,6684,2026-08-03 08:41:23.658111+00,0.2.0
6692,1,1,135,2026-06-06,435,TU02wKzv4cT2BBiI9dEg,m-a,Limitless VGC,https://limitlessvgc.com/teams/6692,6692,2026-08-03 08:41:23.658111+00,0.2.0
6460,1,1,12,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6460,6460,2026-08-03 08:41:23.658111+00,0.2.0
6464,1,1,16,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6464,6464,2026-08-03 08:41:23.658111+00,0.2.0
6465,1,1,17,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6465,6465,2026-08-03 08:41:23.658111+00,0.2.0
